arm,method,model_type,embedding_model,boundary_embedding_model,retrieval_embedding_model,recall@1,recall@3,recall@5,recall_unconstrained@1,recall_unconstrained@3,recall_unconstrained@5,avg_chunk_size,n_chunks,fixed_size,fixed_overlap,semantic_policy,semantic_target_size,semantic_min_size,semantic_max_size,semantic_overlap,boundary_threshold,rerank_depth,reranker_model,rerank_seconds,n_pairs,pool_recall@20,pool_recall@50
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5320,0.7586,0.8473,0.5517,0.7734,0.8621,5.949,10054,6,0,,,,,,,,none,,,0.9507,0.9803
rerank20,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6453,0.7882,0.8670,0.6502,0.8079,0.8768,5.949,10054,6,0,,,,,,,20,BAAI/bge-reranker-base,70.4431,4060,0.9507,0.9803
rerank50,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5813,0.7833,0.8374,0.5862,0.8030,0.8522,5.949,10054,6,0,,,,,,,50,BAAI/bge-reranker-base,168.5304,10150,0.9507,0.9803
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5813,0.8079,0.8571,0.5961,0.8227,0.8719,7.904,7568,8,0,,,,,,,,none,,,0.9606,0.9852
rerank20,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5911,0.7882,0.8424,0.6059,0.8128,0.8621,7.904,7568,8,0,,,,,,,20,BAAI/bge-reranker-base,88.9142,4060,0.9606,0.9852
rerank50,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5665,0.7635,0.8374,0.5813,0.7931,0.8571,7.904,7568,8,0,,,,,,,50,BAAI/bge-reranker-base,209.4171,10150,0.9606,0.9852
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5714,0.7931,0.8670,0.5911,0.8030,0.8719,9.861,6066,10,0,,,,,,,,none,,,0.9655,0.9803
rerank20,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6650,0.8374,0.8867,0.6749,0.8571,0.9015,9.861,6066,10,0,,,,,,,20,BAAI/bge-reranker-base,101.8499,4060,0.9655,0.9803
rerank50,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6502,0.8276,0.8916,0.6700,0.8473,0.9015,9.861,6066,10,0,,,,,,,50,BAAI/bge-reranker-base,242.9872,10150,0.9655,0.9803
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6256,0.7980,0.8916,0.6404,0.8128,0.9015,11.777,5079,12,0,,,,,,,,none,,,0.9704,0.9852
rerank20,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6601,0.8276,0.8768,0.6700,0.8522,0.9015,11.777,5079,12,0,,,,,,,20,BAAI/bge-reranker-base,112.7291,4060,0.9704,0.9852
rerank50,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6256,0.8325,0.8768,0.6256,0.8522,0.8966,11.777,5079,12,0,,,,,,,50,BAAI/bge-reranker-base,270.4961,10150,0.9704,0.9852
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6502,0.8473,0.9212,0.6700,0.8621,0.9310,14.661,4080,15,0,,,,,,,,none,,,0.9704,0.9901
rerank20,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6601,0.8374,0.8966,0.6847,0.8473,0.9064,14.661,4080,15,0,,,,,,,20,BAAI/bge-reranker-base,121.0279,4060,0.9704,0.9901
rerank50,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6305,0.8030,0.8867,0.6502,0.8276,0.8966,14.661,4080,15,0,,,,,,,50,BAAI/bge-reranker-base,292.9432,10150,0.9704,0.9901
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5517,0.7635,0.8325,0.5665,0.7734,0.8424,6.545,9139,,,target,6,2,10,0,,,none,,,0.9458,0.9852
rerank20,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6256,0.7931,0.8571,0.6453,0.8079,0.8719,6.545,9139,,,target,6,2,10,0,,20,BAAI/bge-reranker-base,78.8856,4060,0.9458,0.9852
rerank50,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6108,0.7882,0.8571,0.6256,0.8030,0.8621,6.545,9139,,,target,6,2,10,0,,50,BAAI/bge-reranker-base,188.3754,10150,0.9458,0.9852
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5517,0.8030,0.8818,0.5714,0.8128,0.8916,8.287,7218,,,target,8,4,12,0,,,none,,,0.9557,0.9852
rerank20,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6453,0.8325,0.8916,0.6552,0.8473,0.9064,8.287,7218,,,target,8,4,12,0,,20,BAAI/bge-reranker-base,91.8861,4060,0.9557,0.9852
rerank50,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6355,0.8325,0.8867,0.6404,0.8374,0.8966,8.287,7218,,,target,8,4,12,0,,50,BAAI/bge-reranker-base,218.1172,10150,0.9557,0.9852
