arm,method,model_type,embedding_model,boundary_embedding_model,retrieval_embedding_model,recall@1,recall@3,recall@5,recall_unconstrained@1,recall_unconstrained@3,recall_unconstrained@5,avg_chunk_size,n_chunks,fixed_size,fixed_overlap,semantic_policy,semantic_target_size,semantic_min_size,semantic_max_size,semantic_overlap,boundary_threshold,rerank_depth,reranker_model,rerank_seconds,n_pairs,pool_recall@20,n_docs,n_questions,dataset
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6200,0.8333,0.8700,0.6333,0.8467,0.8867,5.927,16715,6,0,,,,,,,,none,,,0.9467,472,300,triviaqa-rc.wikipedia
rerank20,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5800,0.7733,0.8400,0.6000,0.7933,0.8600,5.927,16715,6,0,,,,,,,20,BAAI/bge-reranker-base,104.8381,6000,0.9467,472,300,triviaqa-rc.wikipedia
rerank20_ft,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6400,0.8000,0.8633,0.6600,0.8167,0.8800,5.927,16715,6,0,,,,,,,20,<project-root>/artifacts/models/bge_reranker_ft/final,104.4772,6000,0.9467,472,300,triviaqa-rc.wikipedia
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.7067,0.8500,0.9100,0.7167,0.8700,0.9267,14.502,6832,15,0,,,,,,,,none,,,0.9600,472,300,triviaqa-rc.wikipedia
rerank20,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6533,0.8433,0.8833,0.6733,0.8600,0.9067,14.502,6832,15,0,,,,,,,20,BAAI/bge-reranker-base,200.6799,6000,0.9600,472,300,triviaqa-rc.wikipedia
rerank20_ft,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.7100,0.8500,0.8900,0.7267,0.8733,0.9067,14.502,6832,15,0,,,,,,,20,<project-root>/artifacts/models/bge_reranker_ft/final,201.2888,6000,0.9600,472,300,triviaqa-rc.wikipedia
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.7033,0.8667,0.9067,0.7133,0.8800,0.9267,14.550,7277,15,1,,,,,,,,none,,,0.9667,472,300,triviaqa-rc.wikipedia
rerank20,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6667,0.8400,0.8867,0.6933,0.8667,0.9167,14.550,7277,15,1,,,,,,,20,BAAI/bge-reranker-base,201.1696,6000,0.9667,472,300,triviaqa-rc.wikipedia
rerank20_ft,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.7033,0.8500,0.8900,0.7333,0.8733,0.9100,14.550,7277,15,1,,,,,,,20,<project-root>/artifacts/models/bge_reranker_ft/final,202.1787,6000,0.9667,472,300,triviaqa-rc.wikipedia
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.7000,0.8533,0.9033,0.7200,0.8667,0.9133,14.743,6720,,,target,15,11,19,0,,,none,,,0.9633,472,300,triviaqa-rc.wikipedia
rerank20,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6300,0.8200,0.8833,0.6467,0.8467,0.9033,14.743,6720,,,target,15,11,19,0,,20,BAAI/bge-reranker-base,196.9470,6000,0.9633,472,300,triviaqa-rc.wikipedia
rerank20_ft,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.7033,0.8433,0.9067,0.7233,0.8600,0.9133,14.743,6720,,,target,15,11,19,0,,20,<project-root>/artifacts/models/bge_reranker_ft/final,197.6982,6000,0.9633,472,300,triviaqa-rc.wikipedia
bge,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6767,0.8533,0.9067,0.6833,0.8733,0.9233,14.752,6716,,,target,15,11,19,0,,,none,,,0.9700,472,300,triviaqa-rc.wikipedia
rerank20,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6467,0.8033,0.8700,0.6700,0.8233,0.8967,14.752,6716,,,target,15,11,19,0,,20,BAAI/bge-reranker-base,198.1717,6000,0.9700,472,300,triviaqa-rc.wikipedia
rerank20_ft,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.7167,0.8533,0.8900,0.7367,0.8833,0.9067,14.752,6716,,,target,15,11,19,0,,20,<project-root>/artifacts/models/bge_reranker_ft/final,198.0875,6000,0.9700,472,300,triviaqa-rc.wikipedia
