method,chunk_config,stage2_retrieval_embedding_model,stage3_retrieval_embedding_model,boundary_embedding_model,stage2_avg_chunk_size,stage3_avg_chunk_size,delta_avg_chunk_size,stage2_n_chunks,stage3_n_chunks,delta_n_chunks,stage2_recall@1,stage3_recall@1,delta_recall@1,stage2_recall@3,stage3_recall@3,delta_recall@3,stage2_recall@5,stage3_recall@5,delta_recall@5
fixed,"fixed_size=6,overlap=0",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,5.949,5.949,0.000,10054,10054,0,0.4483,0.5320,0.0837,0.6946,0.7586,0.0640,0.7635,0.8473,0.0838
fixed,"fixed_size=8,overlap=0",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,7.904,7.904,-0.000,7568,7568,0,0.4926,0.5813,0.0887,0.7340,0.8079,0.0739,0.7833,0.8571,0.0738
fixed,"fixed_size=10,overlap=0",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,9.861,9.861,-0.000,6066,6066,0,0.5320,0.5714,0.0394,0.7635,0.7931,0.0296,0.8227,0.8670,0.0443
fixed,"fixed_size=12,overlap=0",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,11.777,11.777,-0.000,5079,5079,0,0.5172,0.6256,0.1084,0.7488,0.7980,0.0492,0.8276,0.8916,0.0640
fixed,"fixed_size=15,overlap=0",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,14.661,14.661,-0.000,4080,4080,0,0.5616,0.6502,0.0886,0.7586,0.8473,0.0887,0.8079,0.9212,0.1133
bilstm,"target=6,min=2,max=10,overlap=0",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,6.545,6.545,0.000,9139,9139,0,0.4236,0.5517,0.1281,0.6601,0.7635,0.1034,0.7537,0.8325,0.0788
bilstm,"target=8,min=4,max=12,overlap=0",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,8.287,8.287,-0.000,7218,7218,0,0.4729,0.5517,0.0788,0.7143,0.8030,0.0887,0.8276,0.8818,0.0542
bilstm,"target=10,min=6,max=14,overlap=0",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,10.065,10.065,-0.000,5943,5943,0,0.5074,0.5911,0.0837,0.7438,0.8227,0.0789,0.8177,0.8719,0.0542
bilstm,"target=12,min=8,max=16,overlap=0",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,11.901,11.901,0.000,5026,5026,0,0.5419,0.6059,0.0640,0.7094,0.8128,0.1034,0.8522,0.8768,0.0246
bilstm,"target=15,min=11,max=19,overlap=0",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,14.747,14.747,0.000,4056,4056,0,0.5665,0.6552,0.0887,0.7980,0.8227,0.0247,0.8670,0.9015,0.0345
transformer,"target=6,min=2,max=10,overlap=0",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,6.350,6.350,-0.000,9420,9420,0,0.4433,0.5813,0.1380,0.6700,0.7783,0.1083,0.7685,0.8571,0.0886
