arm,method,model_type,embedding_model,boundary_embedding_model,retrieval_embedding_model,recall@1,recall@3,recall@5,recall_unconstrained@1,recall_unconstrained@3,recall_unconstrained@5,avg_chunk_size,n_chunks,fixed_size,fixed_overlap,semantic_policy,semantic_target_size,semantic_min_size,semantic_max_size,semantic_overlap,boundary_threshold,n_docs,n_questions,dataset
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6200,0.8333,0.8700,0.6333,0.8467,0.8867,5.927,16715,6,0,,,,,,,472,300,triviaqa-rc.wikipedia
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6833,0.8367,0.8833,0.6933,0.8500,0.9033,7.869,12590,8,0,,,,,,,472,300,triviaqa-rc.wikipedia
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6700,0.8200,0.8800,0.6833,0.8433,0.9000,9.794,10116,10,0,,,,,,,472,300,triviaqa-rc.wikipedia
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6967,0.8700,0.9167,0.7067,0.8833,0.9300,11.695,8472,12,0,,,,,,,472,300,triviaqa-rc.wikipedia
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.7067,0.8500,0.9100,0.7167,0.8700,0.9267,14.502,6832,15,0,,,,,,,472,300,triviaqa-rc.wikipedia
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6100,0.8067,0.8567,0.6267,0.8233,0.8733,6.539,15152,,,target,6,2,10,0,,472,300,triviaqa-rc.wikipedia
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6533,0.8300,0.8933,0.6733,0.8467,0.9100,8.251,12008,,,target,8,4,12,0,,472,300,triviaqa-rc.wikipedia
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6567,0.8300,0.8800,0.6767,0.8433,0.8933,10.059,9849,,,target,10,6,14,0,,472,300,triviaqa-rc.wikipedia
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.7033,0.8633,0.9100,0.7233,0.8733,0.9233,11.904,8323,,,target,12,8,16,0,,472,300,triviaqa-rc.wikipedia
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.7000,0.8533,0.9033,0.7200,0.8667,0.9133,14.743,6720,,,target,15,11,19,0,,472,300,triviaqa-rc.wikipedia
bge,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6100,0.8100,0.8767,0.6367,0.8333,0.8967,6.337,15634,,,target,6,2,10,0,,472,300,triviaqa-rc.wikipedia
bge,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6667,0.8233,0.8900,0.6833,0.8433,0.9133,8.187,12102,,,target,8,4,12,0,,472,300,triviaqa-rc.wikipedia
bge,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6933,0.8367,0.9000,0.7067,0.8500,0.9133,10.030,9878,,,target,10,6,14,0,,472,300,triviaqa-rc.wikipedia
bge,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.7033,0.8500,0.9067,0.7200,0.8633,0.9200,11.887,8335,,,target,12,8,16,0,,472,300,triviaqa-rc.wikipedia
